Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,clustering,componentnumber,strongcompnum,indegree,outdegree,Degree
101190,,,32,0.087263,0.125226,9599.383583,0.009564,0.163743,0,7779,8,11,19
102012,,,25,0.121542,0.158413,67673.183683,0.009268,0.154762,0,7779,7,29,36
102077,,,24,0.131098,0.159178,3296.672746,0.013674,0.256917,0,7779,12,11,23
102219,,,25,0.123877,0.158065,29448.427956,0.009433,0.127907,0,7779,8,35,43
103020,,,24,0.127184,0.149699,95385.970391,0.01317,0.169048,0,7779,16,5,21
103211,,,23,0.142595,0.179513,18997.193457,0.016327,0.151003,0,7779,18,39,57
104018,,,23,0.147829,0.177602,1226024.436611,0.00606,0.095238,0,7779,3,19,22
9309283,,,0,0,0,0,0.167933,0.091539,0,1355,82,0,82
9404282,,,1,1,1,5841.53509,0.246448,0.056026,0,1357,149,2,151
9408404,,,3,0.608696,0.702381,5617.170321,0.266257,0.07017,0,1619,133,6,139
9411308,,,3,0.472222,0.539216,4563.030534,0.068216,0.102186,0,3179,58,3,61
9509204,,,30,0.082974,0.09827,487257.239084,0.184555,0.095143,0,7779,107,22,129
9607366,,,40,0.049805,0.05936,75245.466065,0.050021,0.069124,0,7779,43,20,63
9607447,,,30,0.085062,0.105729,2079008.428208,0.111995,0.072581,0,7779,83,10,93
9703353,,,30,0.086243,0.110455,795206.345279,0.18157,0.061581,0,7779,107,28,135
9704423,,,31,0.082501,0.112356,130849.682296,0.247318,0.072775,0,7779,160,15,175
9705292,,,32,0.076249,0.099156,478386.797043,0.190369,0.032475,0,7779,123,39,162
9707251,,,31,0.08386,0.120012,2649395.887799,0.185757,0.046276,0,7779,138,36,174
9712225,,,31,0.084799,0.123114,559857.22404,0.178642,0.068369,0,7779,122,31,153
9712306,,,30,0.084708,0.103495,42213.125891,0.037524,0.10299,0,7779,38,5,43
9801443,,,32,0.077743,0.107553,528982.218623,0.084426,0.062297,0,7779,55,35,90
9802394,,,31,0.082313,0.110045,975075.681994,0.13838,0.040326,0,7779,126,19,145
9802433,,,31,0.084804,0.122492,64458.124224,0.116215,0.137071,0,7779,75,25,100
9804363,,,30,0.091299,0.135232,2162133.877157,0.149282,0.036164,0,7779,155,58,213
9805403,,,30,0.090579,0.129321,188545.365613,0.067274,0.061053,0,7779,69,35,104
9806468,,,31,0.085185,0.124226,54277.474135,0.045829,0.104518,0,7779,50,41,91
9808493,,,31,0.084731,0.12007,30729.455622,0.113732,0.096561,0,7779,107,16,123
9809311,,,31,0.085347,0.125225,251049.110513,0.104042,0.090674,0,7779,111,23,134
9809384,,,31,0.08503,0.121715,35194.534675,0.029558,0.136878,0,7779,23,29,52
9810260,,,31,0.086435,0.129689,197077.001735,0.087277,0.130121,0,7779,79,38,117
9810438,,,37,0.057644,0.070344,1079.824451,0.008959,0.121212,0,7779,4,8,12
9812396,,,31,0.086305,0.127098,683802.617631,0.075174,0.114442,0,7779,74,33,107
9903456,,,31,0.086611,0.131068,154515.834699,0.055055,0.107272,0,7779,65,38,103
9903535,,,24,0.125876,0.163919,1418649.488066,0.114498,0.042356,0,7779,102,52,154
9905312,,,32,0.076318,0.097401,41444.535806,0.227853,0.02575,0,7779,278,3,281
9909564,,,26,0.112307,0.146205,89893.713433,0.012655,0.207386,0,7779,9,24,33
9910291,,,26,0.110396,0.142736,121564.866088,0.050911,0.090211,0,7779,44,25,69
9911250,,,24,0.121516,0.153238,133029.080847,0.015718,0.138258,0,7779,10,23,33
9911427,,,30,0.091953,0.121064,229317.814334,0.049076,0.078555,0,7779,49,17,66
9911528,,,27,0.104869,0.13789,42526.941953,0.02347,0.125,0,7779,18,15,33
9512388,,,7,0.336134,0.410496,10872.303879,0.142591,0.046091,0,2536,101,11,112
9702315,,,32,0.078102,0.109184,782662.590094,0.079316,0.059561,0,7779,65,23,88
9704402,,,31,0.082789,0.115365,211562.639608,0.070744,0.077193,0,7779,46,30,76
9707225,,,29,0.093746,0.123449,1981938.50674,0.063052,0.056177,0,7779,52,14,66
9709328,,,0,0,0,0,0.008998,0.071429,0,4042,8,0,8
9207214,,,0,0,0,0,0.59178,0.033776,0,760,301,0,301
9207222,,,0,0,0,0,0.053726,0.143791,0,89,18,0,18
9209231,,,0,0,0,0,0.076068,0.094758,0,23,32,0,32
9211256,,,0,0,0,0,0.331347,0.029902,0,213,136,0,136
9211260,,,0,0,0,0,0.299884,0.030716,0,212,121,0,121
9211333,,,0,0,0,0,0.030777,0.166667,0,2068,4,0,4
9302244,,,0,0,0,0,0.119976,0.06899,0,1012,38,0,38
9303225,,,1,1,1,34320.900375,0.104811,0.057576,0,91,51,4,55
9303270,,,0,0,0,0,0.49567,0.02705,0,503,228,0,228
9304225,,,0,0,0,0,0.571716,0.027435,0,768,338,0,338
9306320,,,1,1,1,145810.372757,0.472914,0.008333,0,805,464,15,479
9307247,,,4,0.4,0.520833,8947.069154,0.373826,0.035739,0,769,225,4,229
9307318,,,0,0,0,0,0.066137,0.171429,0,1167,15,0,15
9307364,,,0,0,0,0,0.403977,0.03604,0,493,172,0,172
9308246,,,3,0.5,0.604167,16997.494113,0.480852,0.026387,0,769,314,5,319
9308262,,,4,0.470588,0.59375,7473.658709,0.243105,0.050616,0,769,120,5,125
9308287,,,3,0.607143,0.715686,3808.464839,0.140796,0.10303,0,772,58,8,66
9308288,,,4,0.473684,0.597222,6155.112972,0.36862,0.047211,0,795,189,6,195
9308349,,,1,1,1,1301.465512,0.298824,0.072047,0,1303,138,1,139
9309203,,,1,1,1,40.499121,0.066291,0.134387,0,1830,22,1,23
9309236,,,1,1,1,1228.793468,0.052489,0.10989,0,1164,12,2,14
9310212,,,2,0.666667,0.75,12012.18936,0.204769,0.041351,0,1302,100,7,107
9310311,,,0,0,0,0,0.232529,0.063834,0,150,107,0,107
9310332,,,1,1,1,106.712653,0.088909,0.034899,0,1373,67,1,68
9311243,,,1,1,1,1540.144258,0.08344,0.067347,0,1071,47,3,50
9311339,,,2,0.833333,0.9,2972.457401,0.198659,0.061718,0,771,103,4,107
9311345,,,1,1,1,9617.323644,0.499478,0.025843,0,1013,229,3,232
9311357,,,1,1,1,351.531514,0.211727,0.046442,0,1145,89,1,90
9312311,,,2,0.705882,0.791667,39604.23558,0.271775,0.03767,0,830,157,7,164
9312359,,,2,0.8,0.875,2771.748064,0.2985,0.032527,0,827,204,3,207
9401204,,,0,0,0,0,0.083766,0.115172,0,1833,43,0,43
9401254,,,1,1,1,12429.88474,0.219852,0.053782,0,1124,104,3,107
9402347,,,2,0.604651,0.673077,61064.736913,0.113002,0.087084,0,166,50,9,59
9402363,,,1,1,1,5898.386412,0.099491,0.186186,0,148,32,5,37
9403254,,,1,1,1,3152.437612,0.11201,0.055807,0,1137,51,1,52
9403407,,,4,0.586538,0.703552,89578.549099,0.086781,0.119184,0,1087,22,28,50
9405207,,,3,0.581395,0.666667,46869.988628,0.20218,0.056429,0,817,102,9,111
9405259,,,2,0.6,0.666667,764.192479,0.104799,0.105951,0,1822,51,2,53
9405346,,,4,0.506329,0.627083,26653.866807,0.0937,0.116598,0,1076,45,14,59
9405368,,,2,0.714286,0.8,3985.452006,0.097954,0.082449,0,1832,47,3,50
9406203,,,2,0.777778,0.857143,3892.397847,0.11401,0.090496,0,1165,49,5,54
9406239,,,3,0.56,0.690476,33051.168413,0.171094,0.053361,0,1305,72,13,85
9407342,,,1,1,1,734.162281,0.0636,0.159524,0,1829,19,2,21
9408213,,,4,0.552632,0.694444,28984.694312,0.22432,0.057722,0,1163,120,10,130
9408290,,,6,0.393939,0.576282,35984.595214,0.160502,0.041996,0,810,87,9,96
9408306,,,4,0.548077,0.656433,60502.192316,0.167581,0.084799,0,1078,84,21,105
9408382,,,4,0.403226,0.435,8716.981508,0.097187,0.091429,0,1144,49,1,50
9408390,,,2,0.583333,0.642857,5205.899066,0.081076,0.091304,0,139,44,2,46
9409287,,,4,0.48,0.572917,6861.624942,0.168043,0.082441,0,773,73,6,79
9409309,,,3,0.6,0.722222,30081.130868,0.106922,0.043011,0,1817,54,9,63
9409391,,,3,0.5,0.555556,6.979173,0.069822,0.124384,0,1073,28,1,29
9409437,,,4,0.460674,0.607724,77366.235183,0.093925,0.107692,0,2067,50,15,65
9409440,,,5,0.449198,0.52619,58929.641277,0.194755,0.058927,0,1088,115,14,129
9409454,,,1,1,1,786.621454,0.128599,0.066275,0,1727,50,1,51
9410388,,,3,0.6,0.694444,9870.81392,0.1389,0.09435,0,1739,55,5,60
9411229,,,40,0.049759,0.058364,427236.730886,0.213757,0.040841,0,7779,153,7,160
9411335,,,3,0.385714,0.41358,0,0.037229,0.285714,0,2062,7,1,8
9412324,,,3,0.631579,0.736111,22057.188581,0.081757,0.068706,0,1629,42,6,48
9412375,,,3,0.397059,0.450617,7265.481797,0.081351,0.065524,0,1206,29,3,32
9501281,,,5,0.363309,0.435314,22270.663905,0.248705,0.046155,0,1166,190,12,202
9501389,,,2,0.75,0.833333,610.611068,0.043513,0.145455,0,1834,9,2,11
9502300,,,40,0.049808,0.059672,597837.602984,0.247814,0.040568,0,7779,166,18,184
9502338,,,41,0.047498,0.05664,240112.580596,0.141205,0.078191,0,7779,79,14,93
9502363,,,32,0.078927,0.106326,45401347.137813,0.126606,0.084311,0,7779,57,15,72
9503414,,,39,0.05248,0.065829,864881.705939,0.072902,0.023643,0,7779,35,43,78
9503492,,,5,0.435897,0.51781,77710.005208,0.200889,0.047446,0,1205,114,17,131
9505397,,,39,0.052546,0.066675,653601.742291,0.168467,0.07767,0,7779,61,43,104
9506201,,,39,0.052404,0.063768,846439.271465,0.097542,0.102572,0,7779,43,16,59
9506374,,,40,0.04993,0.060838,53402.923015,0.274045,0.090095,0,7779,114,12,126
9507248,,,40,0.049944,0.061009,27296.59409,0.088182,0.18661,0,7779,19,8,27
9507262,,,33,0.07323,0.094419,640111.547036,0.205778,0.067008,0,7779,99,8,107
9508272,,,30,0.084573,0.103092,3015752.021834,0.088628,0.090539,0,7779,30,27,57
9510323,,,34,0.068267,0.085151,31287.954297,0.031449,0.124183,0,7779,3,15,18
9510378,,,41,0.047987,0.064899,940103.971494,0.116911,0.028389,0,7779,65,58,123
9908362,,,0,0,0,0,0.151625,0.043058,0,764,71,0,71
9302210,,,1,1,1,176724.367531,0.374715,0.016167,0,165,315,13,328
9308272,,,0,0,0,0,0.171189,0.065486,0,151,103,0,103
6056,,,24,0.133915,0.165183,223867.335481,0.0303,0.167677,0,7779,33,25,58
6280,,,23,0.139059,0.176349,124741.673183,0.009995,0.091252,0,7779,12,41,53
7085,,,24,0.127264,0.162226,16048.603621,0.035354,0.12852,0,7779,34,29,63
7233,,,24,0.118452,0.14984,29763.073894,0.010863,0.153595,0,7779,11,7,18
7339,,,25,0.111435,0.135969,46320.904418,0.00827,0.135897,0,7779,7,33,40
8234,,,33,0.07392,0.097821,1809.643333,0.003463,0.033333,0,7779,1,5,6
11184,,,27,0.104067,0.133832,14477.204314,0.009394,0.065934,0,7779,10,4,14
11269,,,25,0.117831,0.146241,54263.980971,0.010963,0.075,0,7779,9,7,16
11392,,,24,0.140541,0.178202,872042.971351,0.012092,0.114754,0,7779,9,53,62
12161,,,25,0.128519,0.164454,45395.311743,0.006249,0.085145,0,7779,3,21,24
101259,,,24,0.140727,0.179559,19826.893288,0.008298,0.18,0,7779,5,21,26
102274,,,21,0.16881,0.204057,457514.371778,0.003892,0.107143,0,7779,2,26,28
102345,,,0,0,0,0,0.00386,0,0,7763,2,0,2
103197,,,21,0.169201,0.204765,421216.636189,0.016125,0.078397,0,7779,22,20,42
9408332,,,6,0.387097,0.506481,13291.440411,0.089411,0.051852,0,1155,48,7,55
9409399,,,4,0.46875,0.572222,77.891547,0.008248,0.1,0,7186,2,4,6
9411367,,,3,0.538462,0.619048,332.660782,0.031012,0.088624,0,1806,26,2,28
9603256,,,7,0.267327,0.341358,9895.956743,0.008026,0.081818,0,6353,8,3,11
9610449,,,33,0.071311,0.093043,225903.82769,0.102721,0.0587,0,7779,84,22,106
9612262,,,30,0.0889,0.125967,649237.720092,0.03659,0.053133,0,7779,20,88,108
9612313,,,31,0.081866,0.108531,1651322.421612,0.36767,0.036551,0,7779,263,16,279
9703290,,,31,0.082447,0.114712,3366514.605773,0.138703,0.037581,0,7779,132,84,216
9704376,,,30,0.089785,0.134696,3082210.63515,0.14942,0.02981,0,7779,117,194,311
9709288,,,31,0.081453,0.107708,26918.551749,0.084803,0.12368,0,7779,42,10,52
9711217,,,31,0.084335,0.124829,2112902.189007,0.056923,0.044564,0,7779,34,72,106
9802289,,,31,0.085847,0.130756,2320404.353008,0.082488,0.042291,0,7779,52,26,78
9803368,,,31,0.086019,0.129646,346719.724621,0.091975,0.047688,0,7779,96,48,144
9805303,,,32,0.08125,0.125657,2146841.782219,0.184362,0.043885,0,7779,169,48,217
9806230,,,0,0,0,0,0.016868,0.066667,0,6027,10,0,10
9806308,,,31,0.086199,0.130638,466987.595947,0.14762,0.060008,0,7779,120,36,156
9806501,,,31,0.082851,0.111677,34527.472137,0.03252,0.12753,0,7779,32,7,39
9807238,,,30,0.091752,0.136054,119035.705936,0.021736,0.116092,0,7779,12,18,30
9901288,,,31,0.086086,0.126877,44845.604425,0.059776,0.080919,0,7779,66,12,78
9904379,,,25,0.114152,0.147236,87017.322802,0.011807,0.062069,0,7779,9,21,30
9904480,,,31,0.084725,0.119782,137421.962131,0.014815,0.136243,0,7779,13,15,28
9907243,,,25,0.118996,0.158723,135883.136985,0.033237,0.060834,0,7779,34,43,77
9907270,,,29,0.096789,0.127076,162329.095122,0.012249,0.103361,0,7779,15,20,35
9907300,,,31,0.083762,0.114529,46958.987068,0.012532,0.181818,0,7779,6,6,12
9910417,,,28,0.101583,0.143541,140004.146198,0.015506,0.054299,0,7779,11,41,52
10071,,,0,0,0,0,0.004786,0,0,7203,1,0,1
10222,,,26,0.104282,0.123992,63201.975053,0.013522,0.143939,0,7779,9,3,12
11086,,,25,0.119218,0.149894,278514.447817,0.018891,0.061553,0,7779,19,14,33
12215,,,25,0.121864,0.152615,55042.679327,0.00842,0.130719,0,7779,4,14,18
9405283,,,6,0.318841,0.389394,12.459578,0.006685,0.166667,0,6954,2,1,3
9608365,,,32,0.076482,0.098794,263815.637565,0.114393,0.089774,0,7779,70,13,83
9610455,,,31,0.082971,0.114098,343027.44705,0.029835,0.058775,0,7779,20,58,78
9711426,,,4,0.414634,0.5,1842.693539,0.028625,0.057882,0,5942,26,3,29
9801412,,,29,0.094279,0.125979,21472376.255323,0.060589,0.103535,0,7779,27,18,45
9806412,,,5,0.305085,0.355556,10045.86782,0.036531,0.044355,0,6029,31,1,32
9902256,,,31,0.084276,0.116351,21192.057249,0.057323,0.071875,0,7779,56,9,65
9908202,,,26,0.10827,0.140348,180006.560504,0.037572,0.095686,0,7779,33,18,51
9908520,,,24,0.125034,0.159781,406326.145021,0.016203,0.061492,0,7779,14,18,32
9909478,,,25,0.117146,0.150007,348500.734365,0.030238,0.118721,0,7779,32,42,74
9911263,,,26,0.113678,0.149242,70089.271868,0.010631,0.109081,0,7779,12,31,43
9912288,,,24,0.119863,0.145346,48442.475617,0.010036,0.083333,0,7779,7,5,12
9512356,,,33,0.073252,0.094935,67555.160357,0.084175,0.138251,0,7779,46,15,61
9604240,,,3,0.5,0.583333,238.425115,0.023736,0.071429,0,2982,14,1,15
9604330,,,34,0.06826,0.084934,109806.404599,0.122952,0.073529,0,7779,71,14,85
9607392,,,31,0.082756,0.111813,588094.734237,0.073504,0.055288,0,7779,43,22,65
9701278,,,33,0.072265,0.091636,43359.525869,0.075484,0.149758,0,7779,34,12,46
9706260,,,30,0.088425,0.119205,352215.452555,0.098917,0.105563,0,7779,75,22,97
9708222,,,30,0.088562,0.122079,656296.594506,0.117244,0.069788,0,7779,65,25,90
9710245,,,31,0.081842,0.107919,9855.180841,0.05303,0.148276,0,7779,27,3,30
9802300,,,30,0.08779,0.11512,546636.935293,0.09631,0.126788,0,7779,73,16,89
9811472,,,29,0.09767,0.139466,266932.706991,0.066283,0.103247,0,7779,58,37,95
9902334,,,30,0.091788,0.133746,519047.194596,0.0586,0.14702,0,7779,52,26,78
9903230,,,30,0.09155,0.133283,377837.877129,0.068969,0.126761,0,7779,43,29,72
9904408,,,23,0.132204,0.164799,64314373.21177,0.10518,0.076238,0,7779,98,55,153
9906434,,,24,0.123062,0.155255,315915.106257,0.080267,0.096971,0,7779,84,40,124
9906497,,,30,0.090151,0.126154,63986.920185,0.012941,0.084967,0,7779,11,7,18
9907335,,,24,0.120333,0.145046,10063.252368,0.038173,0.17451,0,7779,37,14,51
9908395,,,24,0.131551,0.172048,705589.507016,0.039993,0.099495,0,7779,39,61,100
9908442,,,24,0.127953,0.163224,380391.48755,0.00497,0.150198,0,7779,4,19,23
9909530,,,25,0.112123,0.138132,75588.697717,0.006149,0.132353,0,7779,6,11,17
9403249,,,2,0.75,0.833333,505.196197,0.100224,0.057726,0,807,66,2,68
9506477,,,6,0.353261,0.435128,550477.163984,0.139852,0.081432,0,2873,95,29,124
9603261,,,34,0.068447,0.086487,39339677.087082,0.089791,0.060663,0,7779,68,9,77
9603414,,,34,0.068398,0.086361,131948.729626,0.045561,0.093266,0,7779,39,16,55
2041,,,24,0.139461,0.188981,1214302.666441,0.021704,0.032942,0,7779,21,68,89
3090,,,24,0.12719,0.163124,5701.800764,0.00234,0.052632,0,7784,5,14,19
3133,,,24,0.131963,0.173807,128726.81377,0.00559,0.075291,0,7779,6,60,66
6068,,,24,0.126727,0.158415,109008.555883,0.0089,0.130974,0,7779,16,42,58
6136,,,23,0.142609,0.184699,405719.776024,0.020924,0.062807,0,7779,32,44,76
8151,,,25,0.116285,0.153718,19464.636403,0.004676,0.155303,0,7779,10,23,33
8298,,,25,0.118155,0.147746,30001.302012,0.009216,0.190476,0,7779,10,11,21
11396,,,21,0.171461,0.215126,819632.955202,0.004309,0.059309,0,7779,5,32,37
12197,,,24,0.141094,0.180225,63053.457704,0.009485,0.122132,0,7779,13,26,39
12289,,,18,0.161346,0.177034,15245096.597379,0.016197,0.127628,0,7779,27,10,37
103324,,,21,0.171448,0.21559,541051.58051,0.025204,0.066499,0,7779,40,88,128
104027,,,21,0.165765,0.212711,2667301.047415,0.016844,0.059976,0,7779,23,94,117
104137,,,21,0.164494,0.198574,1580873.425152,0.013799,0.108871,0,7779,24,8,32
105084,,,22,0.143612,0.171857,33623.92856,0.014476,0.14082,0,7779,22,12,34
105177,,,19,0.159596,0.182304,71094.412931,0.003595,0.086957,0,7779,7,16,23
105306,,,21,0.18438,0.227224,300259.921239,0.006356,0.06087,0,7779,12,58,70
106050,,,20,0.183693,0.228231,2847337.175056,0.013202,0.065468,0,7779,23,117,140
107002,,,24,0.125257,0.150133,39360.829476,0.029709,0.085526,0,7779,51,7,58
107074,,,22,0.135736,0.163666,241033.964167,0.01433,0.116487,0,7779,24,39,63
108195,,,20,0.175392,0.207531,742614.457618,0.005723,0.102632,0,7779,10,11,21
