Source,Target
9601222,9501222
9601222,9505207
9601222,9506217
9601222,9508253
9601222,9507437
9601225,9508258
9601225,9509410
9601230,9512229
9601237,9511397
9601237,9507319
9601238,9507348
9601243,9509410
9601243,9507238
9601249,9502338
9601249,9510325
9601257,9502328
9601257,9506298
9601257,9512294
9601261,9511266
9601261,9507261
9601261,9510246
9601262,9508296
9601267,9501384
9601267,9512234
9601269,9407328
9601269,9306209
9601269,9312347
9601269,9312278
9710292,9709317
9710292,9704334
9901439,9805345
9901439,9610451
9901439,9711252
9901439,9711396
9901439,9711395
9901439,9706507
9901439,9806491
9901439,9908207
9601278,9503464
9601278,9506437
109269,7298
109269,9811492
109269,9909352
109269,9905354
109269,9705388
109269,109103
109269,102128
109269,9612424
109269,9903282
109269,9705398
109269,9703224
109269,9710372
109269,109066
109269,107101
109269,9604223
9601280,9510402
9601280,9503411
9601280,9510276
9601280,9505317
9601280,9505224
9601280,9510346
9601280,9502348
9601280,9405218
9601285,9512404
9601285,9511397
9601285,9510254
9601285,9507319
9601289,9511374
9601289,9512318
9601293,9512288
9601293,9509329
9601293,9508338
9601293,9505315
9601293,9510372
9601293,9506374
9601293,9511409
9601293,9506217
9601293,9509424
9601293,9505207
9601293,9510447
9601295,9502273
9601295,9511469
9601295,9501222
9601295,9512425
109272,106097
109272,107266
109272,107268
109272,9906327
109272,9806292
109272,106044
9601300,9508258
9601300,9506467
9601300,9507366
9601300,9506374
9601300,9505207
9601300,9512232
9601300,9601225
9601300,9601293
9601300,9510447
9601301,9411229
9601301,9405218
9601301,9503411
9601301,9412265
9601301,9601215
9601301,9502300
9601301,9508274
9601301,9512367
9601302,9501373
9601308,9701272
9601308,9612284
9601308,9901332
9601308,9901214
9601310,9506256
9601310,9505251
9601313,9502224
9601313,9508399
109275,102288
109275,106247
9601316,9503328
9601325,9508258
9601325,9506467
9601326,9510289
9601326,9506244
9601326,9601222
9601326,9501222
9601326,9504393
9601326,9512425
9601326,9512239
9601326,9512445
9601326,9511469
109277,9912205
9601330,9506465
9601330,9412311
9601330,9505225
9601331,9512288
9601331,9508338
9601331,9512227
9601331,9510372
9601331,9511207
9601331,9506217
9601331,9505207
9601331,9512446
9601332,9502224
9601332,9511426
9601332,9507238
9601335,9501232
9601338,9509294
9601341,9511233
9601348,9505289
9601348,9511469
9601348,9510366
9601353,9510440
9601353,9510235
9601356,9502352
9601356,9512336
9601356,9506452
9601356,9505317
9601356,9512407
9601356,9505224
9601356,9502300
9601356,9411229
9601357,9508258
9601357,9601325
9601357,9601230
9601359,9511310
9601360,9512225
9601360,9511207
9601365,9508258
9601365,9503388
9601365,9509410
9601367,9507378
9601369,9511409
9601372,9505326
9601373,9502345
9601373,9504250
9601374,9508258
9601374,9503388
9601374,9507366
9601375,9511208
9601382,9502211
9508241,9411229
9508241,9412265
9508241,9503434
9508241,9405308
9508241,9410319
9508241,9501392
9508241,9505426
9508241,9502291
9508241,9505225
9508241,9502264
9508241,9502300
9508241,9505309
9601391,9511266
9601391,9511426
9601391,9601243
9601391,9601261
9601391,9507261
9601392,9503358
9903471,9608352
9903471,9711504
9903471,9701283
9903471,9605460
9903471,9809253
9903471,9812518
9903471,9711473
9903471,9810232
9903471,9804331
9903471,9612447
9903471,9704213
9503208,9411229
9503209,9502352
9503213,9502341
9606326,9603447
9503234,9409427
9503234,103230
9503234,9412295
9711216,9605408
9711216,9611243
9711216,9611443
9711216,9709511
9711216,9710217
9711216,9706382
9711216,9709392
9711216,9702291
9711216,9608276
9711216,9605398
9711216,9601367
9711216,9708377
9711216,9609434
9711216,9701341
9711216,9703390
9711216,9608224
9711216,9704225
9711216,9702307
9711216,9609444
9711216,9607397
9711216,9707239
9711216,9703211
9711216,9612464
9711216,9507378
9711216,9704307
9711216,9607414
9711216,9607225
9711216,9602239
12020,4043
12020,9912324
12020,9808456
12020,7113
12020,9808459
12020,9802253
12020,9606211
12020,9701205
12020,8022
12020,9508249
12020,10203
12020,9703260
12020,9902237
12020,2213
12020,9812320
12020,9612451
12020,9801445
12020,10151
12020,9704361
12020,9355
12020,9701301
12020,9905481
12020,9810360
12020,6266
12020,1019
12020,4028
12020,9907261
9503262,9502363
202160,108136
202160,9812418
202160,9906262
202160,108199
202160,201080
202160,201211
202160,9703464
202160,112226
202160,5197
11014,9905417
11014,9711307
11014,8116
11014,9912276
11017,9911233
11017,2116
11017,9907333
11017,9912264
11017,9911309
11017,9612429
11017,9811472
11017,9711377
11017,9801298
11017,7319
11017,6172
11017,9901278
11017,6240
11017,9808289
11017,8290
11017,9909284
11017,9902437
11017,9708326
11017,7208
11017,9705244
11017,9909202
11017,9907341
11017,9901288
11017,9902334
11017,9812471
11017,9908283
11017,9912254
9710349,9512370
9710349,9601308
9503315,9501222
9503322,107294
9503328,9408223
9503329,9408223
11025,9907264
11025,9511397
11025,9710214
11025,9902437
11025,7112
11025,9805389
11025,9912398
11025,5297
11025,9907539
11025,9512404
11025,9507319
11025,9707291
11025,9907333
9710354,9709280
9710354,9707521
9710354,9707251
9710354,9707316
9710354,9707368
9710354,9707354
9710354,9707259
9710354,9705292
204062,9810442
204062,9911323
204062,9803397
204062,9603238
204062,9610504
204062,7018
204062,107084
204062,106190
204062,9707537
204062,9507378
204062,103125
204062,7001
204062,6312
204062,111068
204062,9911293
9710355,9705442
9710355,9707284
9710355,9703221
9710355,9708358
9710355,9708228
9710355,9609279
9503351,9406255
9503358,9502224
9503358,9502338
9503358,9501222
9503358,9502383
9503388,9411229
9503396,9310378
9503396,9406299
9503396,9612284
9503396,9406407
11036,7316
11036,9812389
11036,2134
11036,9910215
11036,4136
11036,9803385
11036,9612383
11036,9708476
11036,11324
11036,9811470
11036,9809237
9503404,9502224
9503404,9412265
9503404,9502300
9503404,9411229
9503411,9409376
9503411,9502348
9503414,9407344
9503415,9312347
9503427,9503328
9503434,9412265
9503434,9502291
9503434,9502300
9503434,9411229
9503437,9406255
10043,9501384
10043,9508354
10043,9711365
10043,9607432
10043,9901384
10043,9804281
10043,9709354
10043,1256
10043,9807453
10043,9807237
11044,9705240
11044,7299
11044,103204
11044,7049
11044,9807400
11044,9612457
11044,9708255
11044,5004
11044,9811518
11044,9902217
202191,12352
202191,108161
202191,107331
202191,112132
202191,9511446
202191,9510342
202191,108170
202191,106190
202191,12333
202191,106166
202191,9810435
202191,103125
202191,9174
202191,9902423
202191,108120
202191,111068
202191,12125
202191,107039
202191,9511266
202191,108003
202191,108071
202191,10088
202191,104041
202191,108139
202191,105005
202191,2286
202191,102301
202191,9904433
202191,106163
202191,108021
202191,107190
202191,108152
202191,9607419
202191,9807552
202191,102323
202191,9205
9803216,9706449
9803216,9709415
9803216,9708449
9503464,9411384
9710375,9705442
9710375,9609474
9710375,9706339
9710375,9706285
9710375,9609468
9710375,9605323
9710375,9607309
9710375,9707309
9710375,9609460
9710375,9706297
9710375,9708239
9710375,9707260
9710375,9707326
11051,2128
11051,9707488
11051,6259
11051,9903476
11051,5221
11051,7286
11051,9907524
11051,9905568
11051,9712301
9803223,9802304
9803223,9710533
9803223,9801306
9803223,9707419
9803223,9701421
9803223,9802238
11053,7233
11053,2242
11053,4227
11053,9903300
11053,9812421
11053,9605319
11053,7176
11053,8012
11053,8334
11053,9907216
11053,9911315
11053,9903406
11053,9909207
11053,9803354
11053,9808293
11053,9812256
11053,9904310
11053,9909477
11053,9902385
11053,9704231
11053,9904366
11053,9808367
11053,9807216
11053,7025
11053,9812276
11053,9812499
11053,9608308
11053,9805427
11053,9906486
11053,9812360
11053,9906490
9710382,9703313
9710382,9707509
11056,5232
11056,9909506
11056,10075
11056,10212
11056,9912329
11056,8287
11056,9905323
11056,4013
11056,9907471
11056,5328
11056,9812529
11056,7032
11056,9912251
11056,3261
11056,9711391
9405218,9310378
202203,102017
202203,112102
202203,108065
202203,3273
202203,101194
202203,104304
202203,111058
202203,111059
202203,9703220
202203,9604279
202203,11096
202203,9809337
202203,107327
202203,102122
202203,103199
9803232,9611307
9803232,9502335
9803232,9701400
9803232,9712457
9803232,9707291
9803232,9709215
204069,201216
204069,12289
204069,9511446
204069,9510342
204069,106247
204069,9912265
204069,202191
204069,106258
204069,202196
204069,2286
204069,9174
204069,106264
204069,9703259
204069,106207
204069,106335
204069,108002
204069,9911323
204069,9801446
204069,104103
204069,4200
204069,105005
204069,110126
204069,9904433
204069,107190
204069,104312
204069,9903417
204069,110266
204069,9607419
204069,9807552
204069,9911293
202209,108225
202209,1122
202209,9911323
202209,9909509
202209,8103
202209,8058
202209,9810442
202209,9911293
202209,9909373
202209,2285
202209,9911421
202209,9803380
202209,9709492
202209,9607446
202209,8087
202209,9811353
202209,9711514
202209,103215
202209,9701244
202209,9904221
202209,7269
11064,9905312
11064,4004
11064,6022
11064,9704423
11064,6124
11064,9812396
11064,4173
11064,5006
11064,9808493
11064,7256
11064,9909564
11064,9809311
9510318,9507319
11067,9710521
11067,9907426
11067,9612260
11067,9804309
11067,9907254
9405308,9612284
202218,111108
202218,9350
202218,106247
202218,112074
202218,5261
202218,9808270
202218,9808205
202218,108177
202218,106258
202218,2147
202218,111150
202218,9801431
202218,112216
202218,102234
202218,204253
202218,3038
202218,108191
202218,9901219
202218,1124
202218,7270
202218,9902312
202218,106283
202218,201069
202218,106264
202218,9804400
202218,105139
202218,9904245
202218,106207
11074,9607201
11074,9711363
11074,9707268
11074,9803365
11074,9812360
11074,9703241
11074,9706378
11074,6334
11074,9904285
11074,9710289
11074,9807442
11074,9802387
11074,9909332
11074,9905246
11074,9812441
11074,9810543
11074,9906460
11074,9909341
11074,7262
11074,9809503
9803246,9701234
9803246,9701291
9803246,9705477
9710404,9703214
9710404,9612375
9803250,9710416
9803250,9610370
9803250,9610553
9803250,9602280
9803250,9703401
9803250,9601359
9803250,9608317
9803250,9708239
9803251,9710341
9803251,9511397
9803251,9710214
9803251,9701422
9803251,9707291
9803251,9707341
9803251,9604270
9803251,9610269
11081,9508258
11081,1172
11081,7193
11081,9903448
11081,9707209
11081,9810442
11081,9909563
11081,9709234
11081,9911293
9710410,9503464
9710410,9702408
9710410,9612250
9710410,9610362
9710410,9609377
9405382,9306209
9710414,9702352
9803258,9706235
9803258,9607394
9803258,9610451
9803258,9705348
9803258,9705271
9803258,9706275
9803258,9706554
9803258,9705307
9803258,9709306
9803258,9607362
9803258,9705411
110237,2177
110237,106245
110237,9808251
110237,9904395
110237,11150
110237,9912210
110237,9910420
110237,9910231
110237,103256
110237,9904219
110237,108005
110237,9703442
110237,9903203
110237,9905381
110237,9906281
110237,102315
110237,105005
110237,9904366
110237,9906481
110237,101170
110237,9911481
110237,9211
110237,9904279
110237,9912317
1001,9909506
1001,9907523
1001,9709423
1001,9802439
1001,9511336
1001,9810409
1001,9908523
1001,9912251
1001,9701390
1001,9710255
1001,9602280
1001,9601359
1001,9910563
1001,9905323
1001,9610553
1001,9702424
1001,9907385
1001,9903515
1001,9903516
1001,9708239
1001,9810389
1002,9812320
1002,9609331
1002,9606211
1002,9912516
1002,9912236
1002,9902443
1002,9903404
1002,9803277
1002,9912463
1002,9812472
1002,9606386
1002,9902371
1002,9811308
1002,9808312
1002,9909540
1002,9808299
1002,9907422
1002,9807423
1003,9805404
1003,9905313
1003,9603202
1003,9901445
1003,9503208
1003,9907468
1003,9604202
1003,9902315
1003,9708396
1003,9604335
1003,9602324
1003,9704245
1003,9805241
1003,9703290
1003,9906300
1003,9903258
1005,9811362
1005,9912443
1005,9705444
1005,9801445
1005,9808456
1005,9607465
1005,9808459
1005,9909228
1005,9706509
1005,9806413
1005,9610224
1005,9810297
1005,9908311
1005,9810360
1005,9508249
1005,9609465
1005,9607292
1005,9910205
1005,9905481
1005,9912223
1006,9812538
1006,9807228
1006,9802334
1007,9812538
1007,9807228
1007,9802334
9702362,9604404
9702362,9601316
9702362,9611206
9702362,9603303
1009,9807228
1009,9812538
1009,9811428
1009,9802334
1013,9909568
1013,9501384
1013,9803266
1013,9609459
1013,9910260
1013,9611253
1013,9901384
1013,9709354
1013,9704415
1015,9903473
1015,9906469
1019,9508321
1019,9908326
1019,9808456
1019,9909228
1019,9808459
1019,9903468
1019,9706509
1019,9903501
1019,9610224
1019,9704403
1019,9909333
1019,9905481
1019,9508249
1019,9808255
1019,9902237
1019,9801246
1019,9701301
1021,9802432
1021,9806513
1021,9901442
1021,9806356
1021,9812449
1021,9710223
1023,9807216
1023,9903209
1023,9910336
1024,9905536
1024,9708483
1024,9810308
1024,9901318
1024,9709473
1024,9612232
1024,9806440
1024,9802314
1024,9902283
1024,9907532
1024,9808333
1024,9812239
1024,9904210
1024,9807235
1024,9904279
1024,9904395
1024,9906244
1024,9912538
1024,9812447
1024,9909217
1024,9901243
1024,9905381
1024,9906470
1024,9912231
1024,9712488
1024,9808293
1024,9811447
1024,9807216
1024,9907400
1024,9911315
1024,9906281
1024,9807353
1024,9812475
1024,9809596
1025,9611312
1025,9801329
1025,9805282
1025,9707331
1025,9609524
1025,9703286
1025,9712343
1025,9612253
1025,9711516
1025,9611437
1025,9904367
1028,9407344
1028,9901409
1028,9603314
1028,9705235
1028,9905351
1028,9606312
1028,9907391
1028,9608247
1028,9909404
1028,9710333
1028,9512303
1030,9902321
1030,9709506
1030,9806307
1030,9808468
1030,9711446
1030,9707511
1030,9802408
1030,9909490
1030,9811373
1030,9706542
1030,9712271
1031,9807264
1031,9811291
1031,9812260
1031,9810533
1031,9812486
1031,9910316
1031,9711438
1031,9902383
1031,9807344
1031,9908276
1031,9902206
1031,9811350
1031,9811323
1031,9903422
1031,9902239
1032,9605281
1032,9908388
1032,9708390
1032,9902471
1032,9812455
1032,9907245
1032,9708463
1032,9609360
1032,9903282
1032,9703348
1032,9809266
1032,9711460
1032,9705311
1033,9502211
1033,9812230
1033,9706315
1033,9901260
1033,9602381
1033,9510287
1033,9810371
1033,9608472
1033,9707395
1033,9808412
1033,9612447
1033,9505248
1033,9906224
1033,9705442
1033,9808292
1033,9906343
1033,9607401
1033,9603307
1033,9801391
1033,9606256
1033,9903474
1033,9905549
1033,9907499
1033,9903418
1033,9808379
1033,9908286
1034,9804306
1034,9903220
1034,9806279
1034,9904260
1034,9910267
1034,9812236
1034,9606477
1035,9912312
1035,9807448
1035,9910262
1035,9902359
1035,9712216
1035,9807513
1035,9812523
1035,9903341
1035,9810206
1035,9908413
1037,9806501
1037,9906509
1037,9607447
1037,9901288
1037,9812282
1037,9907452
1037,9802445
1037,9901278
1037,9907205
1038,9812252
1038,9704298
1038,9411211
1038,9805484
1038,9704333
1038,9505391
1038,9512336
1038,9807443
1038,9507253
1038,9504248
1038,9504219
1038,9502300
1038,9411229
1039,9703267
1039,9702372
1039,9906469
1039,9912231
1039,9808296
1039,9803305
1039,9906539
1039,9909453
1039,9909231
1039,9812273
1039,9806387
1039,9911349
1039,9410259
1039,9807305
1039,9809531
1039,9907421
1039,9910494
1040,9809451
1040,9908388
1040,9605286
1040,9708390
1040,9812455
1040,9902471
1040,9906316
1043,9801282
1043,9907540
1044,9705442
1044,9808299
1044,9909540
1044,9901317
1044,9909378
1044,9812472
1044,9809259
1044,9812236
1044,9909538
1044,9911245
1044,9812240
1044,9911345
1044,9810290
1044,9609331
1044,9903220
1044,9801238
1044,9701336
1044,9912249
1044,9607286
1044,9912223
1045,9903420
1046,9806404
1046,9803237
1046,9905512
1046,9701289
1046,9807251
1046,9903282
1046,9711440
1046,9803445
1046,9912370
1046,9702227
1046,9802357
1046,9607254
1046,9803351
1046,9808248
1046,9803229
1046,9810270
1046,9702367
9710425,9608321
9710425,9708227
9710425,9512369
9710425,9604296
9710425,9512396
9710425,9506256
9710425,9609393
9710425,9609307
9710425,9505251
9710425,9703220
9710425,9710389
9710425,9610233
9710425,9507386
9710425,9607259
9710425,9507263
1048,9908288
1048,9702305
1048,9806306
1048,9704259
1048,9806401
1048,9806279
1048,9804343
1048,9903394
1048,9903215
1052,9710516
1052,9901318
1052,9705366
1052,9811495
1052,9712488
1052,9906297
1052,9802314
1052,9812475
1052,9812538
1052,9802334
1052,9907397
11098,9803368
11098,9811251
1054,9909504
1054,9905218
1054,9710531
1054,9808454
1054,9712519
1054,9702216
1054,9805268
1054,9812429
1054,9704207
1054,9710356
1054,9907221
1054,9712216
1054,9806298
1054,9812316
1054,9706343
1054,9803497
1054,9901420
1054,9606280
1054,9807358
1054,9509239
1054,9905321
1054,9709499
1054,9903358
1054,9509311
1056,9805254
1057,1003
1057,9907468
1057,9901445
1057,9908455
1058,9902449
1058,9912483
1058,9704452
1058,9912499
1058,9912515
1058,9804425
1058,9902420
1058,9608340
1058,9801306
1058,9607403
1058,9602414
1059,9704257
1059,9903298
1059,9704259
1059,9708357
1059,9905415
1059,9612424
1059,9803401
1059,9908299
1059,9902467
1059,9911252
1059,9705398
1059,9802392
1059,9906266
1059,9903451
1059,9905311
1059,9905568
1059,9907362
1059,9907355
1059,9710372
1059,9810410
1059,9705388
1059,9807340
1059,9612402
1059,9611247
1059,9909232
1059,9904236
1059,9903282
1059,9902323
1059,9806401
1059,9812489
1059,9703224
1059,9806263
1059,9906234
1059,9611455
1059,9604223
1061,9908358
1061,9811350
1061,9904425
1061,9812378
1061,9904266
1061,9804398
1062,9709376
1062,9703429
1062,9705286
1062,9808360
1062,9810364
1062,9701324
1062,9806253
1062,9701328
1062,9803256
1062,9611218
1062,9906291
1062,9806424
1062,9807418
1062,9701404
1062,9711391
1064,9903217
1064,9702314
1064,9803214
1064,9902399
9510325,9505289
202247,10240
202247,9908352
202247,9807235
202247,202006
202247,106247
202247,111373
202247,201231
202247,8080
202247,108177
202247,106258
202247,3219
202247,9910420
202247,107054
202247,103062
202247,9904279
202247,106264
202247,103074
202247,9601243
202247,106149
202247,9912358
202247,9909415
202247,110249
202247,9911341
202247,202158
202247,201008
202247,107186
202247,111418
202247,201151
202247,9906368
202247,107083
202247,8010
202247,9902283
202247,9808333
202247,3149
202247,9174
202247,201307
202247,102236
202247,204253
202247,9909217
202247,201291
202247,108005
202247,202086
202247,8044
202247,111215
202247,9810435
202247,3058
202247,11251
202247,9205
202247,9811447
202247,9910522
202247,9812475
202247,9807228
1069,9810408
1069,9909393
1069,9805291
1069,9701420
1069,9902271
1072,9807344
1072,9811378
1072,9911252
1072,9804398
1072,9811353
1072,9903417
1072,9911386
1072,9710204
1072,9909326
1073,9905568
1073,9810411
1073,9810500
1073,9911510
1073,9804428
1073,9607383
1073,9708364
1073,9807246
1073,9511378
1073,9604387
1073,9908309
1073,9909334
1073,9702359
1073,9907524
1073,9811355
1073,9806430
1073,9911264
1073,9910497
1073,9607394
1073,9705315
1073,9905252
1073,9801446
1073,9910315
1073,9505326
1073,9705391
1073,9702333
1073,9707249
1073,9811316
1073,9807479
1073,9602424
1073,9905292
1073,9911255
1074,9609248
1074,9611347
1074,9902467
1074,9704292
1074,9805494
1074,9807465
1074,9801394
1074,9909422
1074,9807344
1074,9904472
1074,9809298
1074,9907571
1074,9804398
1074,9811350
1074,9612440
1074,9906234
1074,9811291
1075,9603314
1075,9812371
1075,9608406
1075,9711287
1075,9608392
1075,9704301
1075,9906318
1075,9709247
1079,9808404
1079,9902274
1079,9704452
1079,9905221
1079,9809574
1079,9909353
1079,9901306
1079,9809490
1079,9804398
1079,9906501
1080,9808320
1080,9808257
1080,9705442
1080,1035
1080,9806404
1080,9710539
1080,9606443
1080,9812523
1080,9904277
1080,9708275
1080,9807448
1080,9806212
1080,9710500
1080,9908413
1080,9810206
1080,9907231
1083,9812483
1083,9905221
1083,9810442
1083,9807415
1083,9508258
1083,9812397
1083,9908305
1083,9809298
1083,9901443
1083,9806292
1083,9809582
1083,9902247
1083,9805471
1083,9807522
1083,9810535
1083,9911272
1083,9910315
1083,9904301
1083,9804398
1083,9807348
1083,9809406
1083,9907447
1083,9909373
1083,9707518
1087,9710401
1087,9809291
1087,9907460
1087,9702409
1087,9911243
1087,9612364
1087,9806354
1087,9903276
1087,9603420
1087,9803357
1087,9804255
1087,9604320
1087,9905441
1087,9802276
1087,9810499
1087,9605288
1087,9811369
1087,9703212
1087,9712221
1087,9902220
1087,9806519
1087,9801272
1088,9912513
1088,9805442
1088,9903363
1088,9806471
1088,9908232
1088,9906434
1088,9911309
1088,9811472
1088,9908371
1088,9706260
1088,9904408
1088,9608281
1088,9910415
1088,9910236
1088,9910237
1088,9911392
1088,9512356
1088,9802405
1088,9912230
1088,9802300
1088,9908395
1088,9911233
1088,9912264
1088,9812471
1088,9907335
1088,9809594
1088,9907514
1088,9910396
1088,9909245
1088,9902334
9710432,9704322
9710432,9703427
9710432,9708437
9710432,9703433
9710432,9703288
9710432,9703337
9710432,9703287
9710432,9703276
1090,9908224
1090,9910393
1090,9811301
1090,9910425
1093,9705442
1093,9902371
1093,9902308
1093,9602292
1093,9807275
1093,9805373
1093,9901389
1095,9904353
1095,9908227
1095,9711396
1095,9909574
1095,9808444
1095,9906346
1095,9909419
1095,9903502
1095,9906512
1095,9811473
1095,9810514
1095,9711395
1095,9910550
1095,9906551
1095,9910491
1095,9804403
1095,9812510
1095,9812287
1096,9512336
1096,9911299
1096,9604388
1096,9706534
1096,9905548
1096,9605367
1096,9612300
1096,9704333
1096,9907472
1096,9807443
1096,9706430
1096,9907350
1096,9811351
1096,9904344
1096,9909305
1096,9411260
1096,9908349
1096,9905310
1096,9811327
1098,9908224
1098,9908417
1098,9707235
1098,9705380
1098,9811301
1098,9605319
1098,9603208
1098,9609481
1098,9704231
1098,9607310
1098,9901362
1098,9712468
1098,9801430
1098,9702393
1098,9611425
1098,9805300
1098,9806235
1098,9710460
1100,9806305
1100,9905372
1100,9807358
1101,9806272
1101,9710209
1101,9808451
1101,9805272
1101,9804421
1101,9903329
1101,9812360
1101,9807305
1101,9606411
1101,9507212
1101,9910286
1101,9804367
1101,9906456
1101,9912211
1101,9808254
1101,9805262
1101,9808470
1101,9811352
1101,9712537
1101,9912282
1101,9812381
1101,9903454
1101,9810501
1101,9908513
1101,9907234
1101,9803299
1101,9906469
1101,9903399
1101,9905320
1101,9703465
1101,9904225
1101,9712493
1101,9712495
1101,9903473
1101,9802209
1101,9607372
1101,9805429
1101,9806328
1101,9912231
1101,9906275
1101,9505275
1101,9901388
1101,9609343
1102,9607432
1102,9811411
1103,9704258
1103,9908388
1103,9611397
1103,9812455
1103,9902471
1103,9611272
1103,9505225
1103,9712471
1103,9906316
1103,9711394
1103,9905551
1103,9902226
1103,9902483
1103,9905428
1103,9905391
1103,9906422
1103,9909271
1103,9707448
1103,9810319
1103,9805341
1103,9606399
1104,9908480
1104,9908227
1104,9908310
1104,9908235
1104,9906445
1104,9903502
1104,9903503
1104,9811473
1104,9910550
1104,9910295
1104,9908248
1104,9711395
1104,9811227
1104,9812510
1104,9812515
1104,9711396
1104,9905448
1104,9910313
1104,9909419
1104,9802284
1104,9906478
1104,9912531
1104,9909296
1104,9804403
1104,9912475
1104,9911223
1104,9903416
1104,9905465
1104,9811387
1104,9808444
1104,9803341
1104,9812287
1104,9908290
1104,9909574
1104,9912519
1104,9804233
1104,9910347
1104,9810509
1104,9910541
1104,9906512
1104,9812305
1104,9810514
1104,9902419
1104,9807318
1104,9912409
1104,9908314
1104,9910491
1104,9812445
1104,9904353
1104,9912419
1104,9910225
1104,9910247
1104,9910254
1104,9905521
1104,9905523
1104,9908212
1104,9906551
1104,9902335
1106,9811235
1106,9609279
1106,9607447
1106,9810552
1106,9906313
1106,9709291
1106,9708476
1106,9612269
1106,9608430
1106,9903343
1107,9610280
1107,9807400
1107,9904461
1110,9605281
1110,9508386
1110,9806340
1110,9605286
1110,9812423
1110,9903240
1110,9903306
1110,9806530
1110,9908464
1110,9804404
1110,9902294
1110,9805268
1110,9709499
1113,9711362
1113,9510403
1113,9611364
1113,9605349
1113,9812358
1113,9608297
1113,9502378
1113,9807223
1113,9901261
1113,9805422
1113,9706417
1113,9802409
1113,9911206
1113,9802394
1113,9703290
1115,9809217
1115,9910277
1115,9902407
1115,9903400
1115,9812489
1115,9903479
1115,9804398
1115,9906514
1115,9806292
1115,9806263
1115,9809467
1115,9906327
1115,9812221
1119,9711488
1119,9901216
1119,9905512
1119,9812522
1119,9608434
1119,9908466
1119,9803445
1119,9606314
1119,9912376
1119,9903354
1119,9908412
1119,9711485
1120,9903248
1120,9903288
1120,9807513
1120,9710500
1120,9712469
1120,9911433
1120,9806344
